S/N,Job Title,Department,Age,Gender,Marital Status,Years of Service,Salary
67,Data Scientist,Field Operations,27,Male,Single,7,361.83
68,HR Specialist,Customer Service,50,Female,Single,5,162.92
69,Marketing Analyst,Field Operations,26,Female,Married,3,263.42
70,Product Manager,Field Operations,26,Female,Single,6,418.67
71,IT Support Engineer,Customer Service,31,Male,Married,2,248.79
72,Software Developer,IT & Software,57,Female,Single,5,156.50
73,Product Manager,Field Operations,25,Male,Married,6,235.13
74,Software Developer,IT & Software,35,Male,Married,6,126.75
75,Product Manager,Field Operations,46,Male,Single,3,400.38
76,Telecom Technician,Customer Service,44,Male,Married,4,570.63
77,Sales Executive,Data Analytics,43,Female,Single,5,374.58
78,Customer Support Agent,Field Operations,53,Male,Married,6,153.33
79,Data Scientist,IT & Software,26,Female,Married,8,335.58
80,Sales Executive,Field Operations,30,Female,Single,5,305.08
81,Marketing Analyst,Project Management,31,Male,Single,8,362.54
82,Project Manager,IT & Software,36,Female,Single,1,371.04
83,Marketing Analyst,Human Resources,37,Female,Single,8,326.25
84,Telecom Technician,Field Operations,44,Female,Married,6,367.92
85,Product Manager,Billing,25,Male,Single,6,168.13
86,Sales Executive,Field Operations,22,Female,Married,1,173.25
87,Software Developer,Sales & Marketing,51,Male,Single,5,346.79
88,IT Support Engineer,Field Operations,47,Female,Single,8,260.04
89,Data Scientist,Human Resources,58,Female,Single,7,447.08
90,Data Scientist,Sales & Marketing,39,Male,Married,2,384.92
91,Telecom Technician,Project Management,40,Male,Married,6,330.58
92,Customer Support Agent,Billing,37,Female,Married,4,408.38
93,Product Manager,Human Resources,55,Female,Married,3,463.75
94,Project Manager,Project Management,22,Female,Married,3,462.13
95,Customer Support Agent,Customer Service,47,Male,Married,6,430.58
96,Sales Executive,Network Operations,33,Male,Married,3,169.67
97,Product Manager,IT & Software,31,Male,Single,2,323.83
98,IT Support Engineer,Network Operations,44,Male,Single,8,329.13
99,Network Engineer,Billing,48,Male,Single,2,353.38
100,IT Support Engineer,IT & Software,57,Female,Married,1,414.50
101,Telecom Technician,Project Management,44,Female,Married,5,342.29
102,Network Engineer,Human Resources,40,Male,Married,6,414.08
103,Network Engineer,Field Operations,42,Female,Married,4,332.83
104,Project Manager,Data Analytics,58,Female,Married,3,304.75
105,Telecom Technician,Network Operations,55,Male,Single,2,276.54
106,Product Manager,Data Analytics,50,Female,Married,7,254.33
107,IT Support Engineer,Customer Service,28,Female,Single,3,474.13
108,IT Support Engineer,Field Operations,48,Male,Single,4,237.83
109,Product Manager,IT & Software,46,Male,Single,3,239.33
110,Product Manager,Sales & Marketing,27,Male,Married,8,391.88
111,Customer Support Agent,Human Resources,34,Female,Married,2,272.75
112,Telecom Technician,IT & Software,31,Male,Married,8,373.08
113,Billing Specialist,Customer Service,44,Female,Single,4,292.25
114,IT Support Engineer,Human Resources,40,Male,Single,3,325.25
115,Network Engineer,Data Analytics,42,Male,Married,8,370.29
116,Telecom Technician,Customer Service,37,Female,Single,5,545.50
117,HR Specialist,Network Operations,25,Female,Married,2,493.29
118,IT Support Engineer,Field Operations,54,Male,Married,7,175.38
119,Network Engineer,Human Resources,49,Female,Single,2,406.17
120,Network Engineer,Data Analytics,27,Female,Married,2,362.67
121,IT Support Engineer,Network Operations,52,Male,Single,5,538.08
122,Marketing Analyst,Field Operations,32,Female,Single,8,312.75
123,Network Engineer,IT & Software,24,Male,Single,3,291.83
124,Marketing Analyst,Network Operations,57,Female,Married,6,189.29
125,Product Manager,Billing,51,Female,Single,3,136.79
126,HR Specialist,Human Resources,44,Female,Single,4,507.25
127,Telecom Technician,Project Management,39,Female,Married,5,514.54
128,Project Manager,Project Management,50,Male,Married,6,733.54
129,Network Engineer,Human Resources,35,Male,Single,7,296.63
130,Software Developer,Data Analytics,22,Female,Single,4,146.25
131,Customer Support Agent,Field Operations,38,Female,Single,8,439.08
132,Data Scientist,Field Operations,57,Male,Married,7,193.25
133,Data Scientist,Data Analytics,25,Female,Married,6,391.33
134,Sales Executive,Project Management,23,Female,Single,8,149.04
135,IT Support Engineer,Network Operations,28,Male,Married,2,477.54
136,Marketing Analyst,Data Analytics,26,Male,Married,5,622.17
137,HR Specialist,Billing,48,Male,Single,2,341.38
138,Product Manager,Project Management,25,Male,Single,6,140.25
139,Data Scientist,Data Analytics,49,Female,Married,6,420.54
140,Billing Specialist,Billing,48,Male,Single,4,227.67
141,Software Developer,Billing,26,Male,Married,7,382.79
142,HR Specialist,IT & Software,57,Female,Married,2,340.08
143,Product Manager,Field Operations,46,Female,Married,6,156.04
144,Customer Support Agent,Data Analytics,52,Male,Married,2,508.13
145,Network Engineer,Project Management,25,Male,Married,8,242.92
146,Product Manager,Human Resources,54,Female,Married,3,182.33
147,Project Manager,Network Operations,33,Female,Married,3,395.25
148,Network Engineer,Human Resources,36,Female,Married,6,139.08
149,Marketing Analyst,Data Analytics,56,Male,Married,7,589.88
150,Sales Executive,Sales & Marketing,33,Male,Single,8,403.08
151,Customer Support Agent,Human Resources,39,Female,Single,3,442.92
152,Data Scientist,Sales & Marketing,25,Male,Married,5,494.04
153,IT Support Engineer,IT & Software,22,Female,Married,5,377.00
154,Customer Support Agent,Customer Service,39,Female,Single,2,326.92
155,Network Engineer,Project Management,51,Male,Married,3,303.08
156,Sales Executive,Project Management,31,Female,Married,7,476.83
157,Sales Executive,Human Resources,54,Female,Single,1,177.54
158,Billing Specialist,Data Analytics,43,Male,Married,1,250.75
159,Network Engineer,Billing,44,Male,Single,7,381.00
160,IT Support Engineer,Human Resources,45,Female,Single,5,554.04
161,Marketing Analyst,Field Operations,49,Male,Married,6,449.88
162,Telecom Technician,Project Management,24,Male,Married,7,356.50
163,Project Manager,Data Analytics,40,Female,Single,3,396.42
164,Marketing Analyst,Field Operations,26,Male,Single,2,487.04
165,Customer Support Agent,Project Management,57,Male,Single,1,450.50
166,IT Support Engineer,Sales & Marketing,56,Male,Married,4,276.75
167,Project Manager,Customer Service,51,Female,Married,5,383.75
168,Customer Support Agent,Human Resources,33,Female,Married,2,581.75
169,Network Engineer,IT & Software,42,Male,Single,7,216.42
170,Sales Executive,Sales & Marketing,36,Female,Married,8,363.38
171,IT Support Engineer,IT & Software,57,Female,Single,6,181.54
172,Software Developer,Customer Service,25,Female,Single,6,404.17
173,Network Engineer,Project Management,26,Female,Single,8,155.79
174,HR Specialist,Customer Service,25,Male,Married,4,504.58
175,Software Developer,Field Operations,27,Female,Single,1,715.54
176,Software Developer,Customer Service,36,Female,Single,2,553.17
177,IT Support Engineer,Customer Service,35,Male,Married,4,265.25
178,Product Manager,Customer Service,23,Male,Married,1,463.50
179,Project Manager,Data Analytics,24,Female,Married,6,363.58
180,Project Manager,Billing,24,Male,Married,8,447.04
181,Customer Support Agent,Human Resources,52,Female,Married,8,498.38
182,HR Specialist,Project Management,25,Male,Single,6,364.54
183,Data Scientist,Network Operations,24,Female,Single,6,155.88
184,Product Manager,Network Operations,22,Female,Single,7,244.42
185,Data Scientist,Human Resources,31,Female,Single,5,378.54
186,Telecom Technician,Sales & Marketing,43,Female,Single,8,184.58
187,HR Specialist,Network Operations,25,Female,Single,8,301.54
188,Data Scientist,Customer Service,48,Female,Single,6,567.83
189,Marketing Analyst,Network Operations,39,Female,Married,4,363.63
190,Billing Specialist,Project Management,54,Male,Married,3,376.54
191,Product Manager,Customer Service,34,Male,Single,8,284.29
192,Billing Specialist,Sales & Marketing,30,Female,Married,7,138.08
193,Sales Executive,Field Operations,51,Male,Single,2,339.17
194,Product Manager,Data Analytics,30,Male,Married,2,429.38
195,Data Scientist,Human Resources,22,Female,Single,4,180.38
196,IT Support Engineer,Human Resources,50,Male,Single,6,360.13
197,Product Manager,Project Management,25,Male,Married,3,613.00
198,Data Scientist,Sales & Marketing,36,Male,Single,8,181.04
199,Network Engineer,Human Resources,26,Female,Single,4,247.38
200,Customer Support Agent,Project Management,53,Female,Single,7,399.38
201,Telecom Technician,IT & Software,40,Male,Married,5,390.79
202,Marketing Analyst,Network Operations,29,Female,Single,6,293.33
203,Product Manager,Project Management,25,Female,Married,4,195.33
204,Telecom Technician,Data Analytics,36,Female,Married,6,197.50
205,Telecom Technician,Data Analytics,44,Male,Single,1,160.13
206,Billing Specialist,Human Resources,30,Male,Married,8,469.08
207,Software Developer,Network Operations,24,Male,Single,3,352.67
208,Marketing Analyst,Customer Service,54,Male,Married,6,162.92
209,Marketing Analyst,Project Management,51,Female,Single,8,592.25
210,Telecom Technician,IT & Software,27,Male,Married,7,584.63
211,Billing Specialist,Sales & Marketing,36,Female,Single,1,305.58
212,Project Manager,Billing,43,Female,Married,1,633.33
213,HR Specialist,Human Resources,32,Female,Single,3,743.67
214,Billing Specialist,Sales & Marketing,26,Male,Single,8,343.92
215,Project Manager,Sales & Marketing,42,Female,Single,2,475.29
216,Software Developer,Project Management,28,Female,Married,8,377.67
217,Project Manager,Field Operations,53,Male,Married,8,183.29
218,Project Manager,IT & Software,48,Female,Married,6,259.00
219,HR Specialist,Human Resources,38,Female,Single,2,291.75
220,Data Scientist,Data Analytics,51,Female,Married,5,398.13
221,IT Support Engineer,Billing,47,Male,Single,6,545.38
222,Project Manager,IT & Software,56,Male,Single,5,484.04
223,Sales Executive,Billing,43,Male,Married,8,407.58
224,Marketing Analyst,Human Resources,53,Male,Single,2,246.08
225,Billing Specialist,Project Management,41,Male,Single,7,352.17
226,Data Scientist,Project Management,25,Male,Single,8,358.25
227,IT Support Engineer,Customer Service,28,Male,Single,3,303.29
228,Data Scientist,Customer Service,30,Female,Married,7,404.67
229,Network Engineer,Field Operations,27,Male,Married,7,215.04
230,Data Scientist,Sales & Marketing,37,Male,Married,6,278.00
231,Network Engineer,Human Resources,24,Male,Married,8,202.38
232,Billing Specialist,Human Resources,27,Female,Married,6,438.04
233,Network Engineer,Sales & Marketing,25,Female,Single,3,183.25
234,Billing Specialist,Data Analytics,49,Male,Single,3,223.58
235,Telecom Technician,Human Resources,51,Male,Married,1,495.42
236,Network Engineer,IT & Software,35,Male,Single,8,317.38
237,HR Specialist,IT & Software,22,Female,Married,6,397.17
238,Product Manager,Data Analytics,55,Female,Single,5,254.25
239,Network Engineer,Sales & Marketing,34,Male,Married,5,407.04
240,Software Developer,Project Management,58,Female,Single,7,718.63
241,IT Support Engineer,Project Management,41,Female,Single,7,143.17
242,Sales Executive,Field Operations,22,Male,Married,3,135.29
243,Network Engineer,Data Analytics,34,Female,Married,4,418.67
244,IT Support Engineer,Project Management,35,Female,Single,6,468.04
245,HR Specialist,IT & Software,44,Male,Married,8,404.83
246,Data Scientist,Billing,35,Male,Married,6,338.33
247,Product Manager,Sales & Marketing,38,Female,Married,5,285.17
248,Sales Executive,Network Operations,55,Female,Single,3,438.50
249,Product Manager,Network Operations,25,Male,Single,8,547.13
250,Project Manager,Field Operations,35,Female,Married,4,352.58
251,Marketing Analyst,Customer Service,34,Male,Single,5,336.04
252,Telecom Technician,Billing,37,Male,Single,6,353.54
253,Telecom Technician,Data Analytics,44,Female,Married,6,394.54
254,Network Engineer,Network Operations,25,Male,Married,3,137.63
255,Network Engineer,Project Management,24,Female,Married,4,571.04
256,Marketing Analyst,Data Analytics,26,Male,Single,1,175.17
257,Data Scientist,Field Operations,22,Male,Married,8,321.38
258,Billing Specialist,Data Analytics,22,Male,Single,4,397.83
259,Marketing Analyst,Customer Service,36,Female,Married,2,281.08
260,IT Support Engineer,Billing,36,Female,Single,2,402.67
261,Customer Support Agent,IT & Software,36,Male,Single,7,316.67
262,Billing Specialist,Network Operations,27,Male,Single,2,292.13
263,Customer Support Agent,Billing,24,Female,Married,8,442.33
264,IT Support Engineer,Sales & Marketing,36,Male,Married,4,306.00
265,Billing Specialist,Data Analytics,25,Female,Married,3,368.17
266,Customer Support Agent,Human Resources,43,Female,Married,8,137.63
267,Data Scientist,Network Operations,35,Male,Married,5,327.79
268,Telecom Technician,Billing,49,Male,Married,8,474.04
269,Marketing Analyst,Sales & Marketing,25,Male,Married,3,436.79
270,Marketing Analyst,Billing,22,Female,Single,2,310.92
271,Data Scientist,Data Analytics,57,Male,Single,3,293.08
272,Telecom Technician,Network Operations,55,Female,Single,7,285.08
273,Customer Support Agent,Billing,34,Female,Single,4,362.04
274,IT Support Engineer,Data Analytics,35,Female,Single,7,490.54
275,Marketing Analyst,Customer Service,45,Male,Married,3,589.04
276,Sales Executive,IT & Software,41,Female,Single,8,166.17
277,Customer Support Agent,Network Operations,42,Female,Single,6,440.25
278,Data Scientist,Data Analytics,35,Female,Married,6,415.75
279,Customer Support Agent,Sales & Marketing,56,Male,Married,2,217.75
280,HR Specialist,Project Management,23,Male,Married,6,275.58
281,IT Support Engineer,Customer Service,39,Male,Married,1,444.13
282,Network Engineer,Field Operations,40,Male,Married,4,437.58
283,IT Support Engineer,Data Analytics,34,Male,Single,7,237.79
284,Product Manager,Sales & Marketing,47,Female,Married,3,566.75
285,Data Scientist,Project Management,25,Female,Married,3,283.04
286,Data Scientist,IT & Software,40,Male,Married,6,426.83
287,Product Manager,Customer Service,44,Male,Married,8,328.50
288,Network Engineer,Data Analytics,35,Female,Single,3,701.54
289,Telecom Technician,Customer Service,33,Female,Married,2,420.67
290,Product Manager,Human Resources,23,Male,Single,3,346.04
291,Data Scientist,IT & Software,50,Male,Single,5,330.29
292,Software Developer,Project Management,52,Female,Married,3,252.08
293,Telecom Technician,Data Analytics,22,Male,Married,6,297.42
294,IT Support Engineer,Sales & Marketing,56,Male,Single,8,552.42
295,Customer Support Agent,Data Analytics,46,Male,Married,8,582.50
296,IT Support Engineer,IT & Software,24,Female,Married,8,612.38
297,IT Support Engineer,Field Operations,25,Male,Single,8,181.33
298,Marketing Analyst,Human Resources,45,Female,Single,4,359.92
299,Network Engineer,Project Management,38,Male,Married,7,153.79
300,Data Scientist,IT & Software,55,Male,Married,4,360.42
301,Billing Specialist,IT & Software,48,Female,Married,8,341.04
302,Telecom Technician,Customer Service,29,Male,Married,2,240.04
303,Marketing Analyst,Project Management,49,Female,Married,3,607.92
304,Sales Executive,Field Operations,39,Male,Single,8,194.17
305,Sales Executive,IT & Software,44,Male,Married,7,361.75
306,Marketing Analyst,IT & Software,29,Male,Single,2,497.04
307,HR Specialist,Field Operations,34,Female,Married,8,243.63
308,Project Manager,Human Resources,25,Female,Married,5,269.13
309,Network Engineer,Data Analytics,30,Female,Married,8,274.25
310,Sales Executive,Project Management,49,Female,Single,7,270.38
311,Software Developer,Network Operations,24,Female,Single,6,444.25
312,IT Support Engineer,Data Analytics,45,Male,Single,7,587.58
313,Telecom Technician,Billing,25,Male,Single,5,156.88
314,Software Developer,Human Resources,30,Female,Single,6,447.50
315,Software Developer,IT & Software,51,Female,Married,2,178.08
316,Data Scientist,Field Operations,33,Male,Married,8,469.17
317,Data Scientist,IT & Software,30,Male,Single,6,199.38
318,Sales Executive,Sales & Marketing,40,Male,Married,4,284.67
319,Billing Specialist,Data Analytics,24,Female,Married,8,494.92
320,Marketing Analyst,IT & Software,57,Male,Married,3,397.33
321,Billing Specialist,IT & Software,45,Female,Single,3,512.08
322,Project Manager,Human Resources,42,Female,Married,4,379.92
323,Software Developer,Project Management,24,Female,Married,4,271.63
324,Software Developer,Billing,25,Male,Single,6,209.13
325,Project Manager,Customer Service,49,Male,Married,2,318.58
326,Network Engineer,Sales & Marketing,37,Female,Married,6,417.88
327,Customer Support Agent,Human Resources,42,Male,Married,4,482.13
328,Data Scientist,Human Resources,23,Male,Married,2,305.00
329,IT Support Engineer,Network Operations,35,Male,Single,8,429.25
330,Network Engineer,IT & Software,49,Male,Married,7,619.83
331,Project Manager,Network Operations,41,Male,Single,7,231.50
332,Data Scientist,IT & Software,35,Female,Single,8,321.13
333,Sales Executive,Billing,51,Male,Single,3,416.42
334,Product Manager,Project Management,30,Male,Single,3,235.67
335,Billing Specialist,Field Operations,45,Male,Married,8,317.13
336,Project Manager,Human Resources,36,Male,Married,4,208.42
337,Product Manager,Human Resources,25,Male,Single,3,351.83
338,HR Specialist,Billing,51,Female,Single,6,441.13
339,Billing Specialist,Data Analytics,57,Female,Married,4,407.25
340,Marketing Analyst,Sales & Marketing,25,Female,Single,1,346.67
341,Network Engineer,Data Analytics,26,Male,Married,5,581.83
342,Software Developer,Billing,38,Female,Married,7,301.75
343,IT Support Engineer,Data Analytics,44,Female,Single,2,571.29
344,Customer Support Agent,Billing,30,Female,Married,7,394.50
345,Network Engineer,Data Analytics,22,Female,Married,5,194.63
346,HR Specialist,Project Management,38,Male,Single,4,312.42
347,Software Developer,Field Operations,24,Male,Single,7,174.75
348,Telecom Technician,Billing,42,Female,Single,1,738.00
349,Billing Specialist,Data Analytics,45,Female,Single,2,247.33
350,Sales Executive,Data Analytics,33,Female,Married,7,308.58
351,IT Support Engineer,Project Management,49,Female,Single,4,663.92
352,Data Scientist,Project Management,52,Female,Married,8,402.79
353,Customer Support Agent,Sales & Marketing,56,Female,Married,3,383.83
354,Project Manager,IT & Software,23,Male,Single,2,274.83
355,Network Engineer,Project Management,27,Female,Single,2,444.04
356,IT Support Engineer,Project Management,26,Male,Single,6,362.63
357,Data Scientist,Billing,41,Female,Single,7,194.04
358,IT Support Engineer,Human Resources,42,Male,Married,4,200.88
359,Marketing Analyst,Network Operations,49,Female,Single,6,325.75
360,Data Scientist,Customer Service,48,Male,Single,8,222.58
361,Software Developer,Sales & Marketing,33,Female,Single,3,447.04
362,Marketing Analyst,Billing,55,Female,Married,7,303.83
363,Software Developer,Customer Service,22,Male,Single,8,368.25
364,Network Engineer,Network Operations,23,Male,Married,5,544.50
365,Billing Specialist,Network Operations,32,Female,Single,6,635.13
366,Customer Support Agent,Customer Service,46,Male,Married,8,254.08
367,Software Developer,Human Resources,56,Male,Single,5,188.75
368,Project Manager,Data Analytics,32,Female,Married,4,438.92
369,Software Developer,Billing,47,Female,Married,5,258.83
370,Telecom Technician,Sales & Marketing,36,Male,Married,4,412.75
371,HR Specialist,Field Operations,22,Male,Married,3,137.83
372,Data Scientist,Field Operations,27,Female,Single,7,158.88
373,Network Engineer,Data Analytics,39,Female,Single,3,476.88
374,Sales Executive,Data Analytics,26,Female,Single,4,567.75
375,Telecom Technician,Customer Service,22,Female,Married,6,329.08
376,IT Support Engineer,Billing,56,Male,Single,8,376.13
377,Software Developer,Field Operations,31,Male,Single,5,594.25
378,Data Scientist,Project Management,53,Female,Married,6,179.79
379,Project Manager,Billing,55,Male,Married,4,447.25
380,Software Developer,Billing,46,Male,Single,3,538.25
381,Data Scientist,Human Resources,55,Female,Married,4,286.67
382,Project Manager,Field Operations,34,Male,Single,4,315.04
383,Marketing Analyst,Customer Service,45,Male,Married,2,530.58
384,Network Engineer,Billing,51,Male,Single,6,490.92
385,Sales Executive,Customer Service,25,Female,Married,5,406.08
386,Project Manager,Sales & Marketing,47,Female,Married,3,290.38
387,Software Developer,Project Management,30,Female,Single,3,272.29
388,IT Support Engineer,Sales & Marketing,54,Male,Single,4,406.63
389,Software Developer,Field Operations,45,Female,Married,5,176.79
390,Customer Support Agent,Billing,41,Male,Single,4,553.92
391,Marketing Analyst,Customer Service,51,Male,Single,3,228.04
392,Software Developer,IT & Software,48,Male,Single,2,246.04
393,IT Support Engineer,Project Management,39,Male,Single,8,449.92
394,Sales Executive,Billing,22,Male,Married,2,436.00
395,Software Developer,Human Resources,41,Male,Single,6,494.75
396,Product Manager,Network Operations,47,Female,Single,8,408.58
397,Network Engineer,Project Management,38,Female,Single,4,468.63
398,Marketing Analyst,Human Resources,46,Male,Married,6,263.58
399,Data Scientist,Customer Service,51,Female,Married,6,416.75
400,Telecom Technician,Project Management,46,Male,Single,4,360.50
401,Data Scientist,Data Analytics,52,Female,Married,5,493.17
402,Software Developer,Data Analytics,39,Female,Married,4,198.38
403,IT Support Engineer,Customer Service,40,Female,Married,6,486.92
404,Telecom Technician,Data Analytics,41,Female,Single,5,179.92
405,Product Manager,Data Analytics,29,Male,Married,7,430.92
406,IT Support Engineer,Customer Service,46,Female,Married,3,437.54
407,Marketing Analyst,Sales & Marketing,25,Male,Single,4,164.58
408,HR Specialist,Customer Service,40,Female,Single,8,724.38
409,HR Specialist,Human Resources,31,Male,Single,5,205.29
410,Billing Specialist,Data Analytics,52,Male,Married,7,184.17
411,Customer Support Agent,Sales & Marketing,30,Male,Married,5,389.79
412,IT Support Engineer,Network Operations,49,Female,Married,2,288.04
413,IT Support Engineer,IT & Software,43,Male,Single,2,212.88
414,Project Manager,Field Operations,25,Male,Single,1,208.33
415,Customer Support Agent,IT & Software,50,Male,Single,7,245.00
416,Data Scientist,Data Analytics,43,Male,Married,6,437.29
417,Customer Support Agent,Project Management,48,Male,Single,5,341.54
418,Marketing Analyst,IT & Software,50,Male,Single,3,496.63
419,Billing Specialist,IT & Software,28,Female,Single,2,285.29
420,Sales Executive,Sales & Marketing,47,Male,Single,1,167.08
421,IT Support Engineer,Human Resources,29,Female,Single,5,561.58
422,Network Engineer,Network Operations,27,Male,Single,2,304.67
423,Software Developer,Customer Service,43,Female,Married,4,228.67
424,Network Engineer,Human Resources,54,Male,Single,5,272.63
425,Software Developer,Customer Service,50,Male,Married,6,447.08
426,HR Specialist,Billing,22,Male,Single,8,429.29
427,HR Specialist,Customer Service,50,Male,Single,6,216.29
428,Telecom Technician,Network Operations,49,Male,Single,8,493.33
429,Product Manager,Sales & Marketing,53,Male,Single,7,495.29
430,Product Manager,Field Operations,30,Female,Single,6,300.33
431,Telecom Technician,Data Analytics,42,Male,Married,2,368.50
432,Marketing Analyst,Data Analytics,52,Male,Single,3,351.83
433,Product Manager,Human Resources,22,Male,Married,7,327.67
434,IT Support Engineer,Project Management,44,Female,Married,8,213.50
435,Marketing Analyst,IT & Software,56,Male,Married,3,150.67
436,Network Engineer,Customer Service,44,Male,Single,2,195.88
437,Software Developer,Human Resources,25,Female,Single,2,462.00
438,Project Manager,Human Resources,29,Female,Married,2,150.04
439,HR Specialist,Billing,36,Female,Married,2,238.33
440,Customer Support Agent,Network Operations,28,Male,Single,1,269.67
441,Customer Support Agent,Sales & Marketing,55,Male,Married,3,298.38
442,Sales Executive,Customer Service,25,Female,Married,8,288.83
443,HR Specialist,Data Analytics,47,Female,Married,7,436.08
444,Data Scientist,Data Analytics,47,Male,Single,8,316.58
445,Software Developer,Sales & Marketing,58,Female,Single,2,439.58
446,Telecom Technician,IT & Software,55,Male,Married,2,323.29
447,Marketing Analyst,Human Resources,34,Male,Married,8,384.38
448,Product Manager,Billing,38,Female,Married,5,469.92
449,HR Specialist,Billing,25,Female,Married,8,348.83
450,Product Manager,IT & Software,45,Female,Married,3,285.83
451,IT Support Engineer,Field Operations,45,Female,Single,2,163.88
452,IT Support Engineer,Data Analytics,25,Male,Single,6,385.63
453,Marketing Analyst,Sales & Marketing,28,Male,Single,6,273.17
454,Product Manager,Sales & Marketing,28,Female,Married,4,509.42
455,HR Specialist,Billing,56,Male,Married,8,283.50
456,Data Scientist,Project Management,53,Female,Married,4,307.13
457,Product Manager,Network Operations,26,Female,Married,6,595.88
458,Sales Executive,Data Analytics,41,Female,Single,3,460.54
459,Marketing Analyst,Project Management,40,Male,Married,7,631.83
460,HR Specialist,Sales & Marketing,34,Male,Single,8,292.17
461,Sales Executive,Sales & Marketing,30,Female,Married,5,186.00
462,Data Scientist,Billing,31,Male,Single,3,359.75
463,IT Support Engineer,Network Operations,48,Male,Single,4,364.13
464,Marketing Analyst,Human Resources,58,Male,Single,3,331.88
465,Data Scientist,Data Analytics,41,Male,Married,7,525.92
466,Product Manager,Human Resources,30,Female,Single,2,238.13
467,Data Scientist,Sales & Marketing,37,Female,Single,4,618.17
468,Network Engineer,Customer Service,31,Male,Single,7,237.17
469,Network Engineer,IT & Software,24,Male,Married,7,431.25
470,Sales Executive,Sales & Marketing,24,Female,Married,6,595.17
