,Job Title,Department,Age,Gender,Marital Status,Years of Service,Salary,Exited
51,IT Support Engineer,Human Resources,25,Female,Single,2,444.92,0
52,Marketing Analyst,IT & Software,58,Male,Single,6,414.33,0
53,Project Manager,Customer Service,54,Male,Married,2,650.42,0
54,Network Engineer,Field Operations,46,Female,Single,7,160.08,0
55,Customer Support Agent,Billing,27,Female,Single,2,478.38,0
56,Project Manager,Project Management,44,Male,Married,6,311.17,0
57,Marketing Analyst,Sales & Marketing,37,Male,Single,3,195.88,0
58,HR Specialist,IT & Software,30,Female,Married,2,504.5,0
59,HR Specialist,Human Resources,29,Male,Single,3,471.92,0
60,Billing Specialist,Project Management,38,Male,Married,2,287.63,0
61,Network Engineer,Network Operations,39,Male,Single,8,420.29,0
62,IT Support Engineer,Network Operations,47,Male,Single,4,377.29,0
63,Marketing Analyst,Data Analytics,24,Female,Married,4,562.08,0
64,IT Support Engineer,Human Resources,36,Female,Married,8,332.17,0
65,Marketing Analyst,Field Operations,44,Female,Single,2,419.67,0
66,Data Scientist,Field Operations,27,Male,Single,7,361.83,0
67,HR Specialist,Customer Service,50,Female,Single,5,162.92,0
68,Marketing Analyst,Field Operations,26,Female,Married,3,263.42,0
69,Product Manager,Field Operations,26,Female,Single,6,418.67,0
70,IT Support Engineer,Customer Service,31,Male,Married,2,248.79,0
71,Software Developer,IT & Software,57,Female,Single,5,156.5,0
72,Product Manager,Field Operations,25,Male,Married,6,235.13,0
73,Software Developer,IT & Software,35,Male,Married,6,126.75,0
74,Product Manager,Field Operations,46,Male,Single,3,400.38,0
75,Telecom Technician,Customer Service,44,Male,Married,4,570.63,0
76,Sales Executive,Data Analytics,43,Female,Single,5,374.58,0
77,Customer Support Agent,Field Operations,53,Male,Married,6,153.33,0
78,Data Scientist,IT & Software,26,Female,Married,8,335.58,0
79,Sales Executive,Field Operations,30,Female,Single,5,305.08,0
80,Marketing Analyst,Project Management,31,Male,Single,8,362.54,0
81,Project Manager,IT & Software,36,Female,Single,1,371.04,0
82,Marketing Analyst,Human Resources,37,Female,Single,8,326.25,0
83,Telecom Technician,Field Operations,44,Female,Married,6,367.92,0
84,Product Manager,Billing,25,Male,Single,6,168.13,0
85,Sales Executive,Field Operations,22,Female,Married,1,173.25,0
86,Software Developer,Sales & Marketing,51,Male,Single,5,346.79,0
87,IT Support Engineer,Field Operations,47,Female,Single,8,260.04,0
88,Data Scientist,Human Resources,58,Female,Single,7,447.08,0
89,Data Scientist,Sales & Marketing,39,Male,Married,2,384.92,0
90,Telecom Technician,Project Management,40,Male,Married,6,330.58,0
91,Customer Support Agent,Billing,37,Female,Married,4,408.38,0
92,Product Manager,Human Resources,55,Female,Married,3,463.75,0
93,Project Manager,Project Management,22,Female,Married,3,462.13,0
94,Customer Support Agent,Customer Service,47,Male,Married,6,430.58,0
95,Sales Executive,Network Operations,33,Male,Married,3,169.67,0
96,Product Manager,IT & Software,31,Male,Single,2,323.83,0
97,IT Support Engineer,Network Operations,44,Male,Single,8,329.13,0
98,Network Engineer,Billing,48,Male,Single,2,353.38,0
99,IT Support Engineer,IT & Software,57,Female,Married,1,414.5,0
100,Telecom Technician,Project Management,44,Female,Married,5,342.29,0
101,Network Engineer,Human Resources,40,Male,Married,6,414.08,0
102,Network Engineer,Field Operations,42,Female,Married,4,332.83,0
103,Project Manager,Data Analytics,58,Female,Married,3,304.75,0
104,Telecom Technician,Network Operations,55,Male,Single,2,276.54,0
105,Product Manager,Data Analytics,50,Female,Married,7,254.33,0
106,IT Support Engineer,Customer Service,28,Female,Single,3,474.13,0
107,IT Support Engineer,Field Operations,48,Male,Single,4,237.83,0
108,Product Manager,IT & Software,46,Male,Single,3,239.33,0
109,Product Manager,Sales & Marketing,27,Male,Married,8,391.88,0
110,Customer Support Agent,Human Resources,34,Female,Married,2,272.75,0
111,Telecom Technician,IT & Software,31,Male,Married,8,373.08,0
112,Billing Specialist,Customer Service,44,Female,Single,4,292.25,0
113,IT Support Engineer,Human Resources,40,Male,Single,3,325.25,0
114,Network Engineer,Data Analytics,42,Male,Married,8,370.29,0
115,Telecom Technician,Customer Service,37,Female,Single,5,545.5,0
116,HR Specialist,Network Operations,25,Female,Married,2,493.29,0
117,IT Support Engineer,Field Operations,54,Male,Married,7,175.38,0
118,Network Engineer,Human Resources,49,Female,Single,2,406.17,0
119,Network Engineer,Data Analytics,27,Female,Married,2,362.67,0
120,IT Support Engineer,Network Operations,52,Male,Single,5,538.08,0
121,Marketing Analyst,Field Operations,32,Female,Single,8,312.75,0
122,Network Engineer,IT & Software,24,Male,Single,3,291.83,0
123,Marketing Analyst,Network Operations,57,Female,Married,6,189.29,0
124,Product Manager,Billing,51,Female,Single,3,136.79,0
125,HR Specialist,Human Resources,44,Female,Single,4,507.25,0
126,Telecom Technician,Project Management,39,Female,Married,5,514.54,0
127,Project Manager,Project Management,50,Male,Married,6,733.54,0
128,Network Engineer,Human Resources,35,Male,Single,7,296.63,0
129,Software Developer,Data Analytics,22,Female,Single,4,146.25,0
130,Customer Support Agent,Field Operations,38,Female,Single,8,439.08,0
131,Data Scientist,Field Operations,57,Male,Married,7,193.25,0
132,Data Scientist,Data Analytics,25,Female,Married,6,391.33,0
133,Sales Executive,Project Management,23,Female,Single,8,149.04,0
134,IT Support Engineer,Network Operations,28,Male,Married,2,477.54,0
135,Marketing Analyst,Data Analytics,26,Male,Married,5,622.17,0
136,HR Specialist,Billing,48,Male,Single,2,341.38,0
137,Product Manager,Project Management,25,Male,Single,6,140.25,0
138,Data Scientist,Data Analytics,49,Female,Married,6,420.54,0
139,Billing Specialist,Billing,48,Male,Single,4,227.67,0
140,Software Developer,Billing,26,Male,Married,7,382.79,0
141,HR Specialist,IT & Software,57,Female,Married,2,340.08,0
142,Product Manager,Field Operations,46,Female,Married,6,156.04,0
143,Customer Support Agent,Data Analytics,52,Male,Married,2,508.13,0
144,Network Engineer,Project Management,25,Male,Married,8,242.92,0
145,Product Manager,Human Resources,54,Female,Married,3,182.33,0
146,Project Manager,Network Operations,33,Female,Married,3,395.25,0
147,Network Engineer,Human Resources,36,Female,Married,6,139.08,0
148,Marketing Analyst,Data Analytics,56,Male,Married,7,589.88,0
149,Sales Executive,Sales & Marketing,33,Male,Single,8,403.08,0
150,Customer Support Agent,Human Resources,39,Female,Single,3,442.92,0
151,Data Scientist,Sales & Marketing,25,Male,Married,5,494.04,0
152,IT Support Engineer,IT & Software,22,Female,Married,5,377.0,0
153,Customer Support Agent,Customer Service,39,Female,Single,2,326.92,0
154,Network Engineer,Project Management,51,Male,Married,3,303.08,0
155,Sales Executive,Project Management,31,Female,Married,7,476.83,0
156,Sales Executive,Human Resources,54,Female,Single,1,177.54,0
157,Billing Specialist,Data Analytics,43,Male,Married,1,250.75,0
158,Network Engineer,Billing,44,Male,Single,7,381.0,0
159,IT Support Engineer,Human Resources,45,Female,Single,5,554.04,0
160,Marketing Analyst,Field Operations,49,Male,Married,6,449.88,0
161,Telecom Technician,Project Management,24,Male,Married,7,356.5,0
162,Project Manager,Data Analytics,40,Female,Single,3,396.42,0
163,Marketing Analyst,Field Operations,26,Male,Single,2,487.04,0
164,Customer Support Agent,Project Management,57,Male,Single,1,450.5,0
165,IT Support Engineer,Sales & Marketing,56,Male,Married,4,276.75,0
166,Project Manager,Customer Service,51,Female,Married,5,383.75,0
167,Customer Support Agent,Human Resources,33,Female,Married,2,581.75,0
168,Network Engineer,IT & Software,42,Male,Single,7,216.42,0
169,Sales Executive,Sales & Marketing,36,Female,Married,8,363.38,0
170,IT Support Engineer,IT & Software,57,Female,Single,6,181.54,0
171,Software Developer,Customer Service,25,Female,Single,6,404.17,0
172,Network Engineer,Project Management,26,Female,Single,8,155.79,0
173,HR Specialist,Customer Service,25,Male,Married,4,504.58,0
174,Software Developer,Field Operations,27,Female,Single,1,715.54,0
175,Software Developer,Customer Service,36,Female,Single,2,553.17,0
176,IT Support Engineer,Customer Service,35,Male,Married,4,265.25,0
177,Product Manager,Customer Service,23,Male,Married,1,463.5,0
178,Project Manager,Data Analytics,24,Female,Married,6,363.58,0
179,Project Manager,Billing,24,Male,Married,8,447.04,0
180,Customer Support Agent,Human Resources,52,Female,Married,8,498.38,0
181,HR Specialist,Project Management,25,Male,Single,6,364.54,0
182,Data Scientist,Network Operations,24,Female,Single,6,155.88,0
183,Product Manager,Network Operations,22,Female,Single,7,244.42,0
184,Data Scientist,Human Resources,31,Female,Single,5,378.54,0
185,Telecom Technician,Sales & Marketing,43,Female,Single,8,184.58,0
186,HR Specialist,Network Operations,25,Female,Single,8,301.54,0
187,Data Scientist,Customer Service,48,Female,Single,6,567.83,0
188,Marketing Analyst,Network Operations,39,Female,Married,4,363.63,0
189,Billing Specialist,Project Management,54,Male,Married,3,376.54,0
190,Product Manager,Customer Service,34,Male,Single,8,284.29,0
191,Billing Specialist,Sales & Marketing,30,Female,Married,7,138.08,0
192,Sales Executive,Field Operations,51,Male,Single,2,339.17,0
193,Product Manager,Data Analytics,30,Male,Married,2,429.38,0
194,Data Scientist,Human Resources,22,Female,Single,4,180.38,0
195,IT Support Engineer,Human Resources,50,Male,Single,6,360.13,0
196,Product Manager,Project Management,25,Male,Married,3,613.0,0
197,Data Scientist,Sales & Marketing,36,Male,Single,8,181.04,0
198,Network Engineer,Human Resources,26,Female,Single,4,247.38,0
199,Customer Support Agent,Project Management,53,Female,Single,7,399.38,0
200,Telecom Technician,IT & Software,40,Male,Married,5,390.79,0
201,Marketing Analyst,Network Operations,29,Female,Single,6,293.33,0
202,Product Manager,Project Management,25,Female,Married,4,195.33,0
203,Telecom Technician,Data Analytics,36,Female,Married,6,197.5,0
204,Telecom Technician,Data Analytics,44,Male,Single,1,160.13,0
205,Billing Specialist,Human Resources,30,Male,Married,8,469.08,0
206,Software Developer,Network Operations,24,Male,Single,3,352.67,0
207,Marketing Analyst,Customer Service,54,Male,Married,6,162.92,0
208,Marketing Analyst,Project Management,51,Female,Single,8,592.25,0
209,Telecom Technician,IT & Software,27,Male,Married,7,584.63,0
210,Billing Specialist,Sales & Marketing,36,Female,Single,1,305.58,0
211,Project Manager,Billing,43,Female,Married,1,633.33,0
212,HR Specialist,Human Resources,32,Female,Single,3,743.67,0
213,Billing Specialist,Sales & Marketing,26,Male,Single,8,343.92,0
214,Project Manager,Sales & Marketing,42,Female,Single,2,475.29,0
215,Software Developer,Project Management,28,Female,Married,8,377.67,0
216,Project Manager,Field Operations,53,Male,Married,8,183.29,0
217,Project Manager,IT & Software,48,Female,Married,6,259.0,0
218,HR Specialist,Human Resources,38,Female,Single,2,291.75,0
219,Data Scientist,Data Analytics,51,Female,Married,5,398.13,0
220,IT Support Engineer,Billing,47,Male,Single,6,545.38,0
221,Project Manager,IT & Software,56,Male,Single,5,484.04,0
222,Sales Executive,Billing,43,Male,Married,8,407.58,0
223,Marketing Analyst,Human Resources,53,Male,Single,2,246.08,0
224,Billing Specialist,Project Management,41,Male,Single,7,352.17,0
225,Data Scientist,Project Management,25,Male,Single,8,358.25,0
226,IT Support Engineer,Customer Service,28,Male,Single,3,303.29,0
227,Data Scientist,Customer Service,30,Female,Married,7,404.67,0
228,Network Engineer,Field Operations,27,Male,Married,7,215.04,0
229,Data Scientist,Sales & Marketing,37,Male,Married,6,278.0,0
230,Network Engineer,Human Resources,24,Male,Married,8,202.38,0
231,Billing Specialist,Human Resources,27,Female,Married,6,438.04,0
232,Network Engineer,Sales & Marketing,25,Female,Single,3,183.25,0
233,Billing Specialist,Data Analytics,49,Male,Single,3,223.58,0
234,Telecom Technician,Human Resources,51,Male,Married,1,495.42,0
235,Network Engineer,IT & Software,35,Male,Single,8,317.38,0
236,HR Specialist,IT & Software,22,Female,Married,6,397.17,0
237,Product Manager,Data Analytics,55,Female,Single,5,254.25,0
238,Network Engineer,Sales & Marketing,34,Male,Married,5,407.04,0
239,Software Developer,Project Management,58,Female,Single,7,718.63,0
240,IT Support Engineer,Project Management,41,Female,Single,7,143.17,0
241,Sales Executive,Field Operations,22,Male,Married,3,135.29,0
242,Network Engineer,Data Analytics,34,Female,Married,4,418.67,0
243,IT Support Engineer,Project Management,35,Female,Single,6,468.04,0
244,HR Specialist,IT & Software,44,Male,Married,8,404.83,0
245,Data Scientist,Billing,35,Male,Married,6,338.33,0
246,Product Manager,Sales & Marketing,38,Female,Married,5,285.17,0
247,Sales Executive,Network Operations,55,Female,Single,3,438.5,0
248,Product Manager,Network Operations,25,Male,Single,8,547.13,0
249,Project Manager,Field Operations,35,Female,Married,4,352.58,0
250,Marketing Analyst,Customer Service,34,Male,Single,5,336.04,0
251,Telecom Technician,Billing,37,Male,Single,6,353.54,0
252,Telecom Technician,Data Analytics,44,Female,Married,6,394.54,0
253,Network Engineer,Network Operations,25,Male,Married,3,137.63,0
254,Network Engineer,Project Management,24,Female,Married,4,571.04,0
255,Marketing Analyst,Data Analytics,26,Male,Single,1,175.17,0
256,Data Scientist,Field Operations,22,Male,Married,8,321.38,0
257,Billing Specialist,Data Analytics,22,Male,Single,4,397.83,0
258,Marketing Analyst,Customer Service,36,Female,Married,2,281.08,0
259,IT Support Engineer,Billing,36,Female,Single,2,402.67,0
260,Customer Support Agent,IT & Software,36,Male,Single,7,316.67,0
261,Billing Specialist,Network Operations,27,Male,Single,2,292.13,0
262,Customer Support Agent,Billing,24,Female,Married,8,442.33,0
263,IT Support Engineer,Sales & Marketing,36,Male,Married,4,306.0,0
264,Billing Specialist,Data Analytics,25,Female,Married,3,368.17,0
265,Customer Support Agent,Human Resources,43,Female,Married,8,137.63,0
266,Data Scientist,Network Operations,35,Male,Married,5,327.79,0
267,Telecom Technician,Billing,49,Male,Married,8,474.04,0
268,Marketing Analyst,Sales & Marketing,25,Male,Married,3,436.79,0
269,Marketing Analyst,Billing,22,Female,Single,2,310.92,0
270,Data Scientist,Data Analytics,57,Male,Single,3,293.08,0
271,Telecom Technician,Network Operations,55,Female,Single,7,285.08,0
272,Customer Support Agent,Billing,34,Female,Single,4,362.04,0
273,IT Support Engineer,Data Analytics,35,Female,Single,7,490.54,0
274,Marketing Analyst,Customer Service,45,Male,Married,3,589.04,0
275,Sales Executive,IT & Software,41,Female,Single,8,166.17,0
276,Customer Support Agent,Network Operations,42,Female,Single,6,440.25,0
277,Data Scientist,Data Analytics,35,Female,Married,6,415.75,0
278,Customer Support Agent,Sales & Marketing,56,Male,Married,2,217.75,0
279,HR Specialist,Project Management,23,Male,Married,6,275.58,0
280,IT Support Engineer,Customer Service,39,Male,Married,1,444.13,0
281,Network Engineer,Field Operations,40,Male,Married,4,437.58,0
282,IT Support Engineer,Data Analytics,34,Male,Single,7,237.79,0
283,Product Manager,Sales & Marketing,47,Female,Married,3,566.75,0
284,Data Scientist,Project Management,25,Female,Married,3,283.04,0
285,Data Scientist,IT & Software,40,Male,Married,6,426.83,0
286,Product Manager,Customer Service,44,Male,Married,8,328.5,0
287,Network Engineer,Data Analytics,35,Female,Single,3,701.54,0
288,Telecom Technician,Customer Service,33,Female,Married,2,420.67,0
289,Product Manager,Human Resources,23,Male,Single,3,346.04,0
290,Data Scientist,IT & Software,50,Male,Single,5,330.29,0
291,Software Developer,Project Management,52,Female,Married,3,252.08,0
292,Telecom Technician,Data Analytics,22,Male,Married,6,297.42,0
293,IT Support Engineer,Sales & Marketing,56,Male,Single,8,552.42,0
294,Customer Support Agent,Data Analytics,46,Male,Married,8,582.5,0
295,IT Support Engineer,IT & Software,24,Female,Married,8,612.38,0
296,IT Support Engineer,Field Operations,25,Male,Single,8,181.33,0
297,Marketing Analyst,Human Resources,45,Female,Single,4,359.92,0
298,Network Engineer,Project Management,38,Male,Married,7,153.79,0
299,Data Scientist,IT & Software,55,Male,Married,4,360.42,0
300,Billing Specialist,IT & Software,48,Female,Married,8,341.04,0
301,Telecom Technician,Customer Service,29,Male,Married,2,240.04,0
302,Marketing Analyst,Project Management,49,Female,Married,3,607.92,0
303,Sales Executive,Field Operations,39,Male,Single,8,194.17,0
304,Sales Executive,IT & Software,44,Male,Married,7,361.75,0
305,Marketing Analyst,IT & Software,29,Male,Single,2,497.04,0
306,HR Specialist,Field Operations,34,Female,Married,8,243.63,0
307,Project Manager,Human Resources,25,Female,Married,5,269.13,0
308,Network Engineer,Data Analytics,30,Female,Married,8,274.25,0
309,Sales Executive,Project Management,49,Female,Single,7,270.38,0
310,Software Developer,Network Operations,24,Female,Single,6,444.25,0
311,IT Support Engineer,Data Analytics,45,Male,Single,7,587.58,0
312,Telecom Technician,Billing,25,Male,Single,5,156.88,0
313,Software Developer,Human Resources,30,Female,Single,6,447.5,0
314,Software Developer,IT & Software,51,Female,Married,2,178.08,0
315,Data Scientist,Field Operations,33,Male,Married,8,469.17,0
316,Data Scientist,IT & Software,30,Male,Single,6,199.38,0
317,Sales Executive,Sales & Marketing,40,Male,Married,4,284.67,0
318,Billing Specialist,Data Analytics,24,Female,Married,8,494.92,0
319,Marketing Analyst,IT & Software,57,Male,Married,3,397.33,0
320,Billing Specialist,IT & Software,45,Female,Single,3,512.08,0
321,Project Manager,Human Resources,42,Female,Married,4,379.92,0
322,Software Developer,Project Management,24,Female,Married,4,271.63,0
323,Software Developer,Billing,25,Male,Single,6,209.13,0
324,Project Manager,Customer Service,49,Male,Married,2,318.58,0
325,Network Engineer,Sales & Marketing,37,Female,Married,6,417.88,0
326,Customer Support Agent,Human Resources,42,Male,Married,4,482.13,0
327,Data Scientist,Human Resources,23,Male,Married,2,305.0,0
328,IT Support Engineer,Network Operations,35,Male,Single,8,429.25,0
329,Network Engineer,IT & Software,49,Male,Married,7,619.83,0
330,Project Manager,Network Operations,41,Male,Single,7,231.5,0
331,Data Scientist,IT & Software,35,Female,Single,8,321.13,0
332,Sales Executive,Billing,51,Male,Single,3,416.42,0
333,Product Manager,Project Management,30,Male,Single,3,235.67,0
334,Billing Specialist,Field Operations,45,Male,Married,8,317.13,0
335,Project Manager,Human Resources,36,Male,Married,4,208.42,0
336,Product Manager,Human Resources,25,Male,Single,3,351.83,0
337,HR Specialist,Billing,51,Female,Single,6,441.13,0
338,Billing Specialist,Data Analytics,57,Female,Married,4,407.25,0
339,Marketing Analyst,Sales & Marketing,25,Female,Single,1,346.67,0
340,Network Engineer,Data Analytics,26,Male,Married,5,581.83,0
341,Software Developer,Billing,38,Female,Married,7,301.75,0
342,IT Support Engineer,Data Analytics,44,Female,Single,2,571.29,0
343,Customer Support Agent,Billing,30,Female,Married,7,394.5,0
344,Network Engineer,Data Analytics,22,Female,Married,5,194.63,0
345,HR Specialist,Project Management,38,Male,Single,4,312.42,0
346,Software Developer,Field Operations,24,Male,Single,7,174.75,0
347,Telecom Technician,Billing,42,Female,Single,1,738.0,0
348,Billing Specialist,Data Analytics,45,Female,Single,2,247.33,0
349,Sales Executive,Data Analytics,33,Female,Married,7,308.58,0
350,IT Support Engineer,Project Management,49,Female,Single,4,663.92,0
351,Data Scientist,Project Management,52,Female,Married,8,402.79,0
352,Customer Support Agent,Sales & Marketing,56,Female,Married,3,383.83,0
353,Project Manager,IT & Software,23,Male,Single,2,274.83,0
354,Network Engineer,Project Management,27,Female,Single,2,444.04,0
355,IT Support Engineer,Project Management,26,Male,Single,6,362.63,0
356,Data Scientist,Billing,41,Female,Single,7,194.04,0
357,IT Support Engineer,Human Resources,42,Male,Married,4,200.88,0
358,Marketing Analyst,Network Operations,49,Female,Single,6,325.75,0
359,Data Scientist,Customer Service,48,Male,Single,8,222.58,0
360,Software Developer,Sales & Marketing,33,Female,Single,3,447.04,0
361,Marketing Analyst,Billing,55,Female,Married,7,303.83,0
362,Software Developer,Customer Service,22,Male,Single,8,368.25,0
363,Network Engineer,Network Operations,23,Male,Married,5,544.5,0
364,Billing Specialist,Network Operations,32,Female,Single,6,635.13,0
365,Customer Support Agent,Customer Service,46,Male,Married,8,254.08,0
366,Software Developer,Human Resources,56,Male,Single,5,188.75,0
367,Project Manager,Data Analytics,32,Female,Married,4,438.92,0
368,Software Developer,Billing,47,Female,Married,5,258.83,0
369,Telecom Technician,Sales & Marketing,36,Male,Married,4,412.75,0
370,HR Specialist,Field Operations,22,Male,Married,3,137.83,0
371,Data Scientist,Field Operations,27,Female,Single,7,158.88,0
372,Network Engineer,Data Analytics,39,Female,Single,3,476.88,0
373,Sales Executive,Data Analytics,26,Female,Single,4,567.75,0
374,Telecom Technician,Customer Service,22,Female,Married,6,329.08,0
375,IT Support Engineer,Billing,56,Male,Single,8,376.13,0
376,Software Developer,Field Operations,31,Male,Single,5,594.25,0
377,Data Scientist,Project Management,53,Female,Married,6,179.79,0
378,Project Manager,Billing,55,Male,Married,4,447.25,0
379,Software Developer,Billing,46,Male,Single,3,538.25,0
380,Data Scientist,Human Resources,55,Female,Married,4,286.67,0
381,Project Manager,Field Operations,34,Male,Single,4,315.04,0
382,Marketing Analyst,Customer Service,45,Male,Married,2,530.58,0
383,Network Engineer,Billing,51,Male,Single,6,490.92,0
384,Sales Executive,Customer Service,25,Female,Married,5,406.08,0
385,Project Manager,Sales & Marketing,47,Female,Married,3,290.38,0
386,Software Developer,Project Management,30,Female,Single,3,272.29,0
387,IT Support Engineer,Sales & Marketing,54,Male,Single,4,406.63,0
388,Software Developer,Field Operations,45,Female,Married,5,176.79,0
389,Customer Support Agent,Billing,41,Male,Single,4,553.92,0
390,Marketing Analyst,Customer Service,51,Male,Single,3,228.04,0
391,Software Developer,IT & Software,48,Male,Single,2,246.04,0
392,IT Support Engineer,Project Management,39,Male,Single,8,449.92,0
393,Sales Executive,Billing,22,Male,Married,2,436.0,0
394,Software Developer,Human Resources,41,Male,Single,6,494.75,0
395,Product Manager,Network Operations,47,Female,Single,8,408.58,0
396,Network Engineer,Project Management,38,Female,Single,4,468.63,0
397,Marketing Analyst,Human Resources,46,Male,Married,6,263.58,0
398,Data Scientist,Customer Service,51,Female,Married,6,416.75,0
399,Telecom Technician,Project Management,46,Male,Single,4,360.5,0
400,Data Scientist,Data Analytics,52,Female,Married,5,493.17,0
401,Software Developer,Data Analytics,39,Female,Married,4,198.38,0
402,IT Support Engineer,Customer Service,40,Female,Married,6,486.92,0
403,Telecom Technician,Data Analytics,41,Female,Single,5,179.92,0
404,Product Manager,Data Analytics,29,Male,Married,7,430.92,0
405,IT Support Engineer,Customer Service,46,Female,Married,3,437.54,0
406,Marketing Analyst,Sales & Marketing,25,Male,Single,4,164.58,0
407,HR Specialist,Customer Service,40,Female,Single,8,724.38,0
408,HR Specialist,Human Resources,31,Male,Single,5,205.29,0
409,Billing Specialist,Data Analytics,52,Male,Married,7,184.17,0
410,Customer Support Agent,Sales & Marketing,30,Male,Married,5,389.79,0
411,IT Support Engineer,Network Operations,49,Female,Married,2,288.04,0
412,IT Support Engineer,IT & Software,43,Male,Single,2,212.88,0
413,Project Manager,Field Operations,25,Male,Single,1,208.33,0
414,Customer Support Agent,IT & Software,50,Male,Single,7,245.0,0
415,Data Scientist,Data Analytics,43,Male,Married,6,437.29,0
416,Customer Support Agent,Project Management,48,Male,Single,5,341.54,0
417,Marketing Analyst,IT & Software,50,Male,Single,3,496.63,0
418,Billing Specialist,IT & Software,28,Female,Single,2,285.29,0
419,Sales Executive,Sales & Marketing,47,Male,Single,1,167.08,0
420,IT Support Engineer,Human Resources,29,Female,Single,5,561.58,0
421,Network Engineer,Network Operations,27,Male,Single,2,304.67,0
422,Software Developer,Customer Service,43,Female,Married,4,228.67,0
423,Network Engineer,Human Resources,54,Male,Single,5,272.63,0
424,Software Developer,Customer Service,50,Male,Married,6,447.08,0
425,HR Specialist,Billing,22,Male,Single,8,429.29,0
426,HR Specialist,Customer Service,50,Male,Single,6,216.29,0
427,Telecom Technician,Network Operations,49,Male,Single,8,493.33,0
428,Product Manager,Sales & Marketing,53,Male,Single,7,495.29,0
429,Product Manager,Field Operations,30,Female,Single,6,300.33,0
430,Telecom Technician,Data Analytics,42,Male,Married,2,368.5,0
431,Marketing Analyst,Data Analytics,52,Male,Single,3,351.83,0
432,Product Manager,Human Resources,22,Male,Married,7,327.67,0
433,IT Support Engineer,Project Management,44,Female,Married,8,213.5,0
434,Marketing Analyst,IT & Software,56,Male,Married,3,150.67,0
435,Network Engineer,Customer Service,44,Male,Single,2,195.88,0
436,Software Developer,Human Resources,25,Female,Single,2,462.0,0
437,Project Manager,Human Resources,29,Female,Married,2,150.04,0
438,HR Specialist,Billing,36,Female,Married,2,238.33,0
439,Customer Support Agent,Network Operations,28,Male,Single,1,269.67,0
